Application mode,Course,Tuition fees up to date,Gender,Scholarship holder,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,9853,1,0,1,7,10,6,13.0,0,7,7,7,13.285714285714286,Graduate
7,9670,1,0,0,11,15,8,13.6,2,8,10,8,15.11111111111111,Graduate
39,9147,1,0,0,5,8,3,11.0,0,5,9,2,11.5,Dropout
39,9500,1,0,0,8,11,7,11.705714285714285,0,8,11,7,11.705714285714285,Enrolled
1,171,1,0,0,12,12,12,13.25,4,11,14,11,14.333333333333334,Graduate
39,9500,1,0,0,7,15,1,10.75,0,7,10,1,10.0,Dropout
44,9991,1,0,0,6,8,6,12.0,2,7,8,7,13.428571428571429,Enrolled
1,9773,1,0,0,6,7,6,12.666666666666666,0,6,8,4,12.25,Enrolled
39,8014,0,0,0,6,8,5,11.4,0,6,9,3,11.0,Dropout
1,9773,1,0,0,6,6,6,13.0,0,6,8,5,12.4,Graduate
1,9238,1,0,1,6,8,6,14.0,0,6,8,6,12.285714285714286,Graduate
39,9238,1,0,0,6,11,0,0.0,0,5,10,0,0.0,Enrolled
7,9085,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
16,9556,1,0,1,7,7,7,15.285714285714286,0,8,8,8,16.075,Graduate
17,9254,1,0,0,6,6,6,13.166666666666666,0,6,6,6,12.666666666666666,Graduate
1,9147,1,1,0,5,7,5,13.6,0,5,11,5,12.833333333333334,Graduate
17,9773,0,1,1,4,8,0,0.0,0,4,8,0,0.0,Dropout
43,9670,1,1,0,10,12,10,11.4,4,9,9,4,11.5,Graduate
39,9147,1,1,0,5,0,0,0.0,0,5,0,0,0.0,Dropout
39,9991,1,1,0,5,7,5,11.0,0,5,5,5,11.6,Graduate
39,9991,0,1,0,5,9,0,0.0,0,5,11,0,0.0,Dropout
44,9003,1,1,0,6,7,6,13.571428571428571,0,6,6,6,12.666666666666666,Graduate
18,9500,1,0,0,7,0,0,0.0,0,8,0,0,0.0,Dropout
42,9119,1,1,0,10,14,4,11.25,4,11,11,4,12.0,Dropout
17,9670,1,1,0,5,6,3,13.333333333333334,0,5,5,1,11.0,Dropout
17,9773,1,1,1,6,6,6,12.0,0,6,7,6,11.666666666666666,Graduate
1,9773,1,1,0,6,6,6,12.5,0,6,7,5,13.0,Graduate
1,9147,1,1,1,5,6,5,13.2,0,5,6,5,12.666666666666666,Graduate
1,9670,0,1,0,5,5,0,0.0,0,4,4,0,0.0,Dropout
39,9670,0,1,0,5,7,3,11.666666666666666,0,5,8,2,11.5,Dropout
43,9147,1,1,0,15,16,15,13.466666666666669,10,14,14,14,13.642857142857142,Graduate
1,9130,1,1,0,5,7,3,13.666666666666666,0,5,5,5,13.2,Graduate
1,9119,1,1,0,5,9,2,11.666666666666666,0,5,9,2,12.5,Enrolled
1,9773,1,1,1,6,7,6,11.666666666666666,0,6,12,5,10.2,Graduate
44,9003,1,1,0,6,9,5,13.4,0,6,9,5,12.4,Graduate
39,9991,0,1,0,5,5,0,0.0,0,5,6,0,0.0,Dropout
39,9003,1,1,0,6,9,0,0.0,0,6,6,0,0.0,Dropout
39,9991,0,1,0,5,5,0,0.0,0,5,5,0,0.0,Dropout
39,9119,1,1,0,5,6,3,10.666666666666666,0,5,9,2,10.5,Enrolled
43,9670,1,1,0,5,5,4,13.75,0,5,5,4,14.75,Graduate
42,9147,1,1,0,5,5,1,10.0,0,5,5,0,0.0,Dropout
39,9119,0,1,0,5,11,0,0.0,0,5,5,0,0.0,Dropout
43,9853,1,1,0,2,4,1,16.0,0,4,5,4,15.5,Graduate
39,9991,1,1,0,5,9,5,12.285714285714286,0,5,8,5,11.125,Graduate
17,9119,0,1,0,5,10,3,12.0,0,5,8,3,10.333333333333334,Enrolled
39,9500,1,1,0,7,7,6,12.666666666666666,0,7,7,6,12.666666666666666,Graduate
1,9085,1,1,1,5,6,5,11.8,0,5,7,4,13.25,Graduate
39,9991,0,1,0,5,6,5,10.6,0,5,7,5,14.666666666666666,Dropout
18,9003,1,1,0,11,16,9,11.9,3,9,14,8,12.25,Graduate
42,9119,1,1,0,6,8,4,11.25,1,5,8,2,10.5,Dropout
39,9991,1,1,1,5,9,4,11.0,0,5,6,5,11.4,Enrolled
1,9773,1,1,0,6,6,6,12.0,0,6,6,6,12.5,Graduate
39,9991,1,1,0,5,10,4,11.75,0,5,10,4,10.833333333333334,Enrolled
1,9147,1,1,0,5,8,2,10.0,0,5,8,1,16.0,Dropout
1,9500,1,1,0,8,8,7,13.714285714285714,0,8,8,7,13.714285714285714,Graduate
7,9003,1,1,0,6,14,6,14.875,0,6,12,6,15.8,Graduate
17,9070,1,1,0,6,7,5,10.8,0,6,6,0,0.0,Dropout
1,9238,1,1,0,6,11,3,12.0,0,6,12,2,10.0,Dropout
17,9085,0,1,0,6,10,5,12.5,0,6,19,2,13.5,Dropout
17,9500,1,0,0,7,7,7,14.728571428571428,0,8,11,8,16.327272727272728,Graduate
1,9130,1,0,0,6,8,6,12.0,0,6,8,5,14.8,Graduate
1,9773,1,0,0,6,8,6,11.428571428571429,0,6,7,6,11.0,Dropout
44,9238,1,0,0,6,6,6,14.166666666666666,2,6,6,6,13.5,Graduate
7,9238,1,0,0,6,12,5,12.5,0,6,10,5,14.6,Graduate
39,8014,1,0,1,6,6,6,14.166666666666666,0,6,6,6,14.333333333333334,Graduate
1,9500,1,0,1,7,10,5,14.46,0,7,8,6,13.55,Enrolled
44,9085,1,0,0,6,12,5,12.8,0,6,19,2,11.5,Enrolled
17,9254,1,0,0,6,8,6,12.666666666666666,0,6,8,5,13.4,Graduate
1,9070,1,0,0,6,6,6,12.5,0,6,6,6,13.0,Dropout
17,9070,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
1,9670,0,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
1,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Graduate
17,9147,1,0,1,5,8,5,11.2,0,5,5,3,11.0,Graduate
17,9238,1,0,0,6,6,6,16.5,0,6,7,6,17.428571428571427,Dropout
17,9085,1,0,0,5,9,3,13.666666666666666,0,5,5,5,12.0,Graduate
17,9500,1,0,1,8,8,7,15.228571428571428,0,8,8,7,15.228571428571428,Graduate
53,9238,1,0,0,9,10,9,12.77777777777778,4,9,9,9,13.22222222222222,Graduate
1,9500,1,0,1,8,8,7,14.428571428571429,0,8,8,7,14.428571428571429,Graduate
17,9670,1,0,0,6,8,6,13.875,0,6,7,6,13.714285714285714,Graduate
1,9500,1,0,0,7,10,7,13.128,0,8,13,6,13.193333333333332,Graduate
17,9500,1,0,0,7,9,6,11.605,0,8,10,7,12.4125,Graduate
17,9147,1,0,1,5,5,5,14.6,0,5,8,5,12.0,Graduate
1,9773,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
18,9147,1,0,1,5,6,5,11.8,0,5,6,5,11.6,Graduate
17,9254,1,0,0,6,6,6,12.333333333333334,0,6,6,6,12.333333333333334,Graduate
17,9147,1,0,1,5,5,4,11.0,0,5,5,0,0.0,Dropout
51,9070,1,0,1,11,11,11,13.181818181818182,5,11,11,11,12.909090909090908,Graduate
17,9670,0,0,1,6,6,1,11.0,0,6,0,0,0.0,Dropout
17,9773,1,0,1,6,6,6,11.833333333333334,0,6,7,6,12.285714285714286,Graduate
1,9500,1,0,1,8,8,8,12.98125,0,8,8,8,12.98125,Graduate
44,9147,1,0,0,7,10,6,11.333333333333334,1,5,6,5,11.2,Graduate
43,9500,1,0,0,8,12,6,11.68,0,8,12,6,11.68,Graduate
17,9070,1,0,0,6,6,6,14.5,0,6,7,6,13.5,Graduate
18,9853,1,0,0,7,7,7,13.142857142857142,0,7,8,7,12.857142857142858,Graduate
17,9085,0,0,0,5,8,2,11.5,0,5,7,2,10.5,Dropout
1,9085,1,0,0,5,6,5,14.2,0,5,7,5,11.8,Graduate
1,9254,1,0,1,6,8,5,11.666666666666666,0,6,7,5,12.2,Graduate
17,9500,1,0,0,7,8,7,13.175,0,8,8,8,14.875,Graduate
1,9500,1,0,1,8,8,7,13.314285714285717,0,8,8,7,13.314285714285717,Graduate
1,9147,1,0,1,5,13,3,10.6,0,5,12,3,10.5,Graduate
1,9853,1,0,1,6,11,4,12.0,0,6,8,4,10.75,Enrolled
1,9773,1,0,0,6,7,6,13.428571428571429,0,6,7,6,14.142857142857142,Graduate
17,9085,1,0,1,5,7,4,13.25,0,5,8,5,15.571428571428571,Graduate
17,9070,1,0,0,6,6,2,13.0,0,6,6,0,0.0,Dropout
1,9070,1,0,1,6,6,6,14.333333333333334,0,6,7,6,14.0,Enrolled
17,9238,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
1,9238,1,0,0,6,6,6,14.0,0,6,6,6,13.166666666666666,Graduate
42,9085,1,0,1,2,2,2,12.0,1,6,11,6,12.833333333333334,Graduate
1,9853,1,0,0,6,9,5,12.333333333333334,0,6,10,5,10.6,Enrolled
17,9070,1,0,0,6,8,5,11.8,0,6,7,5,10.4,Graduate
18,9500,1,0,1,8,8,7,12.791428571428572,0,8,8,7,12.791428571428572,Graduate
43,9670,1,0,0,8,8,8,11.625,3,7,12,5,11.2,Graduate
1,9500,1,0,1,7,11,6,11.994444444444444,0,8,11,7,12.43142857142857,Graduate
1,9254,1,0,0,6,9,5,11.6,0,6,12,5,12.2,Graduate
7,9991,1,0,0,5,5,0,0.0,0,5,6,0,0.0,Dropout
1,9773,1,0,0,6,8,6,13.166666666666666,0,6,7,6,13.166666666666666,Dropout
1,9500,1,0,0,8,8,7,14.1,0,8,8,7,14.1,Graduate
1,9500,1,0,1,7,8,6,12.396666666666668,0,8,9,7,12.94285714285714,Graduate
1,9500,1,0,0,7,7,7,15.014285714285714,0,8,8,8,16.0875,Graduate
1,171,1,0,1,0,0,0,0.0,0,0,0,0,0.0,Graduate
17,9500,1,0,0,7,8,7,14.05,0,8,8,8,15.1,Graduate
17,9500,1,0,0,7,8,7,14.85,0,8,8,8,15.2,Dropout
44,9085,1,0,0,6,10,6,13.0,0,6,19,5,13.0,Graduate
1,9500,1,0,1,7,8,7,14.7875,0,8,8,8,15.8625,Graduate
1,9500,1,0,1,7,7,7,13.7,0,8,9,7,14.671428571428574,Graduate
1,9500,1,0,1,7,7,7,12.495714285714286,0,8,9,7,12.242857142857144,Dropout
1,9500,1,0,0,7,7,6,14.566666666666668,0,7,7,6,14.566666666666668,Graduate
39,9670,0,0,0,5,5,5,11.2,0,5,5,4,11.25,Dropout
1,9500,1,0,0,8,8,7,12.685714285714283,0,8,8,7,12.685714285714283,Graduate
53,9238,0,0,0,9,12,7,13.571428571428571,4,9,14,4,13.25,Dropout
1,9070,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
39,8014,1,0,0,6,8,5,11.0,0,6,7,6,11.166666666666666,Graduate
1,9500,1,0,0,8,8,8,14.445,0,8,8,8,14.445,Graduate
1,9853,1,0,0,6,9,5,13.6,0,6,10,4,11.75,Enrolled
7,8014,0,0,0,12,12,11,14.0,4,10,11,8,14.625,Dropout
1,9500,1,0,1,7,7,6,13.416666666666666,0,7,7,6,13.416666666666666,Graduate
1,9147,1,0,0,5,8,5,12.333333333333334,0,5,7,5,11.4,Graduate
43,9500,1,0,0,7,8,7,13.1,0,8,8,8,14.8125,Graduate
1,9670,1,0,0,6,9,4,13.2,0,6,10,5,12.8,Graduate
1,9500,1,0,1,8,8,8,14.75,0,8,8,8,14.75,Graduate
44,9238,1,0,1,6,7,6,13.142857142857142,2,6,6,6,14.333333333333334,Graduate
1,9853,1,0,0,6,9,4,12.5,0,6,9,5,12.5,Enrolled
1,9085,1,0,0,5,6,4,13.75,0,5,8,5,14.857142857142858,Graduate
1,9238,1,0,0,6,11,5,12.4,0,6,7,6,13.0,Graduate
1,9773,1,0,0,6,6,6,13.333333333333334,0,6,6,6,12.0,Graduate
2,9853,0,0,0,11,11,11,11.727272727272728,8,8,8,8,12.0,Dropout
17,9254,1,0,0,6,8,4,12.5,0,6,11,1,14.0,Dropout
43,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Dropout
1,9500,1,0,1,7,8,6,13.533333333333331,0,8,9,7,13.614285714285714,Graduate
1,9070,1,0,1,6,6,6,13.166666666666666,0,6,6,6,12.666666666666666,Graduate
1,9254,1,0,1,6,9,5,13.2,0,6,8,5,11.0,Graduate
51,9070,1,0,0,6,7,5,12.2,0,6,7,4,12.6,Enrolled
1,9853,1,0,1,7,7,7,13.428571428571429,0,7,7,7,14.857142857142858,Graduate
1,9070,1,0,1,6,8,6,12.714285714285714,0,6,8,6,12.625,Graduate
17,9130,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
17,9670,1,0,1,6,6,6,13.666666666666666,0,6,9,6,13.666666666666666,Graduate
1,9773,1,0,0,6,6,5,11.0,0,6,6,6,13.166666666666666,Graduate
17,9853,1,0,0,7,11,5,11.4,0,7,9,6,13.333333333333334,Enrolled
43,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Enrolled
17,9130,1,0,0,5,7,4,12.0,0,5,6,5,12.0,Graduate
17,9773,1,0,0,6,6,0,0.0,0,6,0,0,0.0,Dropout
17,9238,1,0,0,6,14,5,11.0,0,6,6,6,11.666666666666666,Graduate
18,9773,1,0,0,6,12,5,12.0,0,6,8,6,11.571428571428571,Dropout
17,9500,1,0,1,7,7,7,13.308571428571428,0,8,10,8,12.55,Graduate
1,9853,0,0,0,6,8,3,13.666666666666666,0,6,7,3,10.666666666666666,Dropout
17,9670,0,0,0,6,6,0,0.0,0,6,9,0,0.0,Dropout
1,9254,1,0,0,6,10,5,12.2,0,6,8,4,11.25,Graduate
1,9773,1,0,1,6,7,6,12.666666666666666,0,6,6,6,12.833333333333334,Graduate
1,9500,1,0,1,8,8,8,14.07125,0,8,8,8,14.07125,Graduate
1,9085,1,0,0,5,14,4,14.25,0,5,9,5,13.2,Dropout
17,9130,0,0,0,6,0,0,0.0,0,2,2,0,0.0,Dropout
1,9853,1,0,0,6,10,3,12.0,0,6,8,4,10.25,Enrolled
43,9147,1,0,0,10,18,6,11.166666666666666,4,10,16,7,10.571428571428571,Enrolled
1,9238,1,0,0,6,12,2,13.0,0,6,8,5,11.6,Graduate
1,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Dropout
1,9500,1,0,1,8,8,7,14.901428571428571,0,8,8,7,14.901428571428571,Dropout
1,9500,1,0,1,7,8,7,12.65,0,8,9,8,12.445555555555554,Graduate
51,9991,0,0,0,12,12,7,11.0,5,5,5,5,10.6,Dropout
17,9085,1,0,0,5,7,4,12.4,0,5,9,5,12.666666666666666,Graduate
44,9003,1,0,0,6,7,6,12.0,0,6,7,6,12.666666666666666,Graduate
1,9500,1,0,1,7,8,7,12.135714285714286,0,8,10,7,13.328571428571427,Graduate
1,9500,1,0,1,7,10,5,12.62,0,7,8,6,12.5,Enrolled
39,9991,1,0,0,5,11,3,10.666666666666666,0,5,11,3,11.333333333333334,Enrolled
1,9500,1,0,1,7,12,6,13.766666666666666,0,8,10,7,14.051428571428572,Graduate
18,9500,1,0,0,8,8,8,13.11625,0,8,8,8,13.11625,Graduate
1,9070,0,0,0,5,5,0,0.0,0,6,0,0,0.0,Dropout
1,9500,1,0,0,7,9,6,12.7,0,8,8,7,13.571428571428571,Graduate
39,9556,1,0,0,7,11,7,11.857142857142858,0,8,21,5,11.7,Enrolled
17,9500,1,0,1,7,7,6,12.333333333333334,0,7,7,6,12.333333333333334,Graduate
39,9238,1,0,0,6,9,4,15.75,0,6,10,5,16.4,Enrolled
1,9670,1,0,0,5,6,5,13.333333333333334,0,5,6,5,13.2,Graduate
42,9500,1,0,0,7,9,7,14.355555555555554,5,8,8,8,13.49375,Graduate
44,9003,1,0,1,6,8,6,13.0,0,6,11,5,13.0,Graduate
1,9773,1,0,1,6,6,6,12.833333333333334,0,6,6,6,13.5,Graduate
1,9670,1,0,1,5,5,5,13.2,0,5,5,4,13.0,Graduate
39,9500,1,0,0,7,9,7,17.005555555555556,1,8,9,8,16.582222222222224,Graduate
1,9238,0,0,1,6,8,5,10.6,0,6,8,5,11.0,Graduate
1,9147,1,0,1,5,5,5,14.0,0,5,6,5,13.6,Graduate
17,9500,1,0,1,8,8,7,12.114285714285714,0,8,8,7,12.114285714285714,Graduate
1,9500,1,0,1,8,8,8,13.05875,0,8,8,8,13.05875,Graduate
42,9500,1,0,0,8,8,7,13.285714285714286,4,8,8,7,13.285714285714286,Graduate
1,9147,1,0,0,5,9,4,11.0,0,5,8,3,10.666666666666666,Enrolled
1,9500,1,0,1,7,7,7,14.071428571428571,0,8,8,8,15.1625,Graduate
17,9254,0,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
44,171,0,0,0,9,9,4,11.25,3,10,12,3,11.0,Dropout
1,9070,1,0,1,6,6,6,14.0,0,6,8,6,13.625,Graduate
1,9254,1,0,1,6,8,6,12.166666666666666,0,6,11,3,11.666666666666666,Dropout
17,9500,1,0,0,8,8,7,13.297142857142855,0,8,8,7,13.297142857142855,Graduate
1,9085,1,0,0,6,14,6,13.923076923076923,0,6,9,6,14.25,Graduate
1,9500,1,0,0,7,11,7,13.37,0,8,13,7,12.833333333333334,Graduate
17,9147,1,0,1,5,5,5,12.4,0,5,8,3,11.0,Enrolled
1,9670,1,0,0,5,5,4,15.0,0,5,5,4,13.75,Dropout
1,9853,1,0,1,6,6,6,13.333333333333334,0,6,7,6,12.571428571428571,Graduate
16,9147,1,0,1,5,8,3,12.0,0,5,9,4,12.625,Enrolled
1,8014,1,0,0,6,7,5,13.4,0,6,9,5,12.2,Graduate
1,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Enrolled
51,9991,1,0,0,5,9,4,11.5,1,5,5,5,11.4,Graduate
18,9853,1,0,0,7,12,6,12.0,0,7,11,6,12.166666666666666,Enrolled
1,9500,1,0,0,8,8,7,13.485714285714284,0,8,8,7,13.485714285714284,Graduate
1,9070,1,0,1,6,6,6,12.0,0,6,8,6,11.285714285714286,Graduate
17,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Dropout
17,9147,1,0,0,5,7,3,10.333333333333334,0,5,11,3,14.428571428571429,Enrolled
1,9500,1,0,0,7,10,5,12.94,0,7,7,5,13.76,Enrolled
1,9500,1,0,0,8,11,7,13.258571428571427,0,8,11,7,13.258571428571427,Graduate
1,9147,1,0,0,5,9,4,12.25,0,5,10,4,12.0,Enrolled
17,9254,0,0,0,6,9,3,11.666666666666666,0,6,15,1,10.0,Dropout
16,9254,1,0,1,6,7,6,13.571428571428571,0,6,6,6,12.5,Graduate
1,9773,1,0,1,6,9,5,11.8,0,6,9,5,11.833333333333334,Graduate
1,9147,1,0,1,5,7,5,14.2,0,5,7,5,13.285714285714286,Graduate
39,9991,1,0,0,5,8,5,11.0,0,5,6,5,11.8,Graduate
7,9500,1,0,0,7,16,4,13.625,0,7,8,7,12.6375,Enrolled
17,9500,1,0,0,8,8,7,14.652857142857142,0,8,8,7,14.652857142857142,Graduate
39,8014,1,0,1,6,9,6,11.333333333333334,0,6,6,6,11.333333333333334,Graduate
39,9500,0,0,0,7,12,4,13.7,0,7,7,0,0.0,Dropout
39,8014,1,0,0,11,11,11,13.727272727272728,4,8,8,8,14.75,Graduate
39,9147,1,0,0,7,9,7,11.75,3,8,12,7,11.142857142857142,Dropout
43,9773,1,1,0,6,9,6,12.333333333333334,0,6,11,5,13.0,Graduate
17,9773,1,0,1,6,6,6,14.0,0,6,7,6,13.857142857142858,Dropout
1,9670,1,1,0,5,7,4,11.5,0,5,6,4,11.75,Graduate
1,9147,1,1,0,5,6,5,11.2,0,5,5,5,13.2,Graduate
17,9500,1,1,1,8,8,7,15.07,0,8,8,7,15.07,Graduate
42,9119,1,1,0,5,6,1,10.0,0,5,7,1,12.0,Dropout
39,9991,1,1,0,5,5,4,12.0,0,5,6,5,12.666666666666666,Enrolled
18,9670,1,1,0,6,11,4,13.0,0,6,11,4,12.6,Graduate
17,9254,1,1,0,6,7,4,11.0,0,6,7,3,11.25,Dropout
16,9238,1,0,0,6,8,6,13.571428571428571,0,6,11,5,12.166666666666666,Graduate
1,9070,1,1,0,6,7,5,14.6,0,6,6,5,14.2,Graduate
39,9500,1,0,0,7,13,3,11.833333333333334,0,7,14,2,10.0,Dropout
18,9556,1,0,1,7,11,7,12.625,0,8,11,8,12.5125,Graduate
39,9500,1,0,0,7,12,4,11.5,0,7,14,3,12.333333333333334,Dropout
16,9085,1,0,0,5,8,4,13.25,0,5,10,4,10.5,Graduate
1,9500,1,0,0,7,9,7,12.60625,0,8,12,6,11.9,Graduate
53,9085,0,0,0,10,15,8,13.75,4,9,17,5,13.2,Dropout
1,9500,1,0,0,7,10,6,13.598333333333334,0,8,11,6,11.933333333333332,Enrolled
1,9238,1,0,1,6,11,5,11.142857142857142,0,6,8,6,12.285714285714286,Graduate
7,9500,1,0,0,11,11,11,12.7,6,10,12,10,12.96818181818182,Enrolled
17,9147,1,0,0,5,9,1,10.0,0,5,10,1,11.0,Dropout
17,9254,1,0,0,6,8,6,11.666666666666666,0,6,10,4,11.5,Graduate
1,9670,1,0,1,6,8,6,14.0,0,6,7,6,13.142857142857142,Graduate
7,9130,1,0,0,5,9,0,0.0,0,5,9,0,0.0,Dropout
1,9500,1,0,0,8,9,7,12.04142857142857,0,8,9,7,12.04142857142857,Graduate
1,171,1,0,1,0,0,0,0.0,0,0,0,0,0.0,Graduate
7,9254,1,0,0,13,14,13,13.76923076923077,9,12,16,12,14.583333333333334,Graduate
39,9003,1,0,0,18,20,18,15.444444444444445,11,13,13,13,15.307692307692308,Graduate
17,9853,1,0,0,7,9,6,11.5,0,7,8,7,12.714285714285714,Enrolled
7,9070,0,0,0,3,3,2,10.0,0,6,0,0,0.0,Dropout
42,9853,1,0,0,6,8,4,12.25,0,6,13,3,10.333333333333334,Dropout
1,9238,0,0,0,6,6,6,14.5,0,6,6,6,15.166666666666666,Graduate
7,9085,1,0,0,6,7,6,15.571428571428571,0,6,8,6,16.375,Graduate
1,9130,1,0,0,6,7,6,15.571428571428571,0,6,7,6,14.714285714285714,Graduate
39,8014,1,0,0,6,8,5,13.8,0,6,7,6,12.166666666666666,Graduate
39,9147,0,0,0,5,8,3,10.666666666666666,0,5,14,2,14.8,Dropout
1,9238,1,0,1,6,8,5,11.6,0,6,8,4,11.75,Graduate
39,9238,0,0,0,6,11,1,13.0,0,6,12,0,0.0,Dropout
7,9147,1,0,0,5,9,3,12.0,0,5,11,4,13.625,Graduate
43,9500,1,0,0,14,14,12,12.333333333333334,11,14,14,12,12.333333333333334,Graduate
39,9003,1,0,0,6,10,6,12.875,0,6,12,6,12.9,Enrolled
7,8014,0,0,0,6,12,1,11.0,0,6,0,0,0.0,Dropout
39,9003,0,0,0,6,10,4,12.25,0,6,13,4,10.5,Dropout
43,9556,0,0,0,7,7,0,0.0,0,8,8,0,0.0,Dropout
17,9238,1,0,1,6,11,4,10.75,0,6,13,5,11.5,Enrolled
39,9500,1,0,1,8,9,8,13.63,0,8,9,8,13.63,Graduate
1,9670,1,0,0,5,8,3,13.0,0,5,7,4,11.5,Graduate
1,9500,1,0,1,7,9,6,13.533333333333331,0,7,7,7,12.228571428571428,Enrolled
1,9500,1,0,1,7,7,7,16.9,0,8,9,8,16.37777777777778,Graduate
17,9238,1,0,0,6,10,5,12.0,0,6,11,4,12.0,Graduate
44,8014,1,0,0,6,6,6,12.5,2,6,7,6,13.285714285714286,Graduate
1,9500,1,0,0,8,8,7,12.764285714285714,0,8,8,7,12.764285714285714,Graduate
18,9147,1,0,1,5,8,5,13.75,0,5,6,5,12.166666666666666,Graduate
1,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Dropout
1,9500,1,0,1,7,7,7,14.604285714285712,0,8,9,8,15.68333333333333,Graduate
39,9991,0,0,0,5,7,0,0.0,0,5,7,0,0.0,Dropout
39,8014,1,0,1,6,9,5,13.833333333333334,0,6,7,6,12.5,Graduate
1,9500,1,0,1,8,8,8,13.57625,0,8,8,8,13.57625,Graduate
17,9238,1,0,1,6,7,6,15.142857142857142,0,6,6,6,15.833333333333334,Graduate
1,9147,1,0,0,5,8,3,10.666666666666666,0,5,8,5,11.6,Graduate
17,9238,1,0,0,6,11,5,11.2,0,6,6,6,12.0,Graduate
1,9500,1,0,0,8,8,8,13.76375,0,8,8,8,13.76375,Graduate
53,9085,1,0,0,9,10,8,13.25,4,9,14,5,12.2,Enrolled
1,9238,1,0,1,6,10,5,10.714285714285714,0,6,10,5,12.2,Graduate
1,9238,1,0,0,6,6,6,12.166666666666666,0,6,7,6,11.666666666666666,Graduate
7,9500,1,0,0,7,8,6,14.357142857142858,1,7,8,6,14.357142857142858,Graduate
17,9773,1,0,0,6,6,6,12.833333333333334,0,6,6,6,12.666666666666666,Graduate
17,9500,1,0,0,8,8,7,13.925714285714283,0,8,8,7,13.925714285714283,Graduate
39,9991,1,0,0,5,9,2,12.0,0,5,9,3,11.0,Dropout
1,9500,1,0,0,7,7,7,13.44285714285714,0,8,9,8,13.744444444444444,Graduate
18,9119,1,1,0,5,5,1,16.0,0,5,5,0,0.0,Dropout
44,9003,1,1,0,6,8,6,13.125,0,6,10,6,13.2,Graduate
1,9670,1,1,0,6,7,0,0.0,0,6,6,0,0.0,Dropout
43,9991,0,1,0,9,9,5,11.4,4,4,4,4,11.0,Dropout
39,9130,0,1,0,4,12,2,11.0,0,5,9,3,11.666666666666666,Dropout
39,9119,1,1,0,5,13,1,11.0,0,5,11,1,10.0,Enrolled
42,9085,1,0,0,6,14,5,13.666666666666666,2,6,10,5,13.0,Graduate
43,9991,0,0,0,6,10,4,11.75,0,5,6,1,10.0,Dropout
39,9853,1,0,0,7,11,1,10.0,0,7,7,1,13.0,Dropout
1,9238,1,0,1,6,8,6,13.5,0,6,9,6,12.833333333333334,Graduate
1,9238,1,0,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
53,9670,1,0,0,6,12,1,12.0,0,6,11,1,11.0,Enrolled
1,9853,0,0,0,6,11,3,13.0,0,6,10,5,11.8,Dropout
1,9254,1,0,0,6,7,6,14.833333333333334,0,6,6,6,16.0,Graduate
43,9773,1,0,0,6,6,6,11.833333333333334,0,6,7,6,12.857142857142858,Graduate
17,9670,1,0,1,6,10,5,12.0,0,6,11,5,12.333333333333334,Graduate
1,9238,1,0,0,6,11,4,12.75,0,6,7,6,11.333333333333334,Graduate
43,9085,1,0,0,5,5,0,0.0,0,5,7,4,14.75,Enrolled
39,9130,1,0,1,6,7,0,0.0,0,6,16,1,10.0,Dropout
17,9238,1,0,0,6,6,6,12.0,0,6,7,6,12.857142857142858,Graduate
1,9556,1,0,0,7,9,7,11.677777777777775,0,8,8,8,13.8,Graduate
1,9500,1,0,1,8,8,7,13.6,0,8,8,7,13.6,Graduate
1,9085,1,0,0,6,7,6,16.0,0,6,8,6,15.875,Graduate
1,9238,1,0,0,6,9,5,11.8,0,6,7,6,11.5,Graduate
42,9119,1,1,0,5,5,0,0.0,2,6,7,2,14.0,Dropout
1,9773,1,1,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
39,9853,1,0,1,6,7,6,16.142857142857142,0,6,10,6,16.2,Graduate
18,9500,1,0,1,8,8,7,11.785714285714286,0,8,8,7,11.785714285714286,Graduate
1,9500,1,0,1,8,8,8,13.42375,0,8,8,8,13.42375,Graduate
1,9670,1,0,0,6,8,6,12.5,0,6,10,5,14.166666666666666,Graduate
17,9500,1,0,1,8,8,7,12.464285714285714,0,8,8,7,12.464285714285714,Graduate
